Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott Xience PROX 3.0 mm x 12 mm (7122041915506);5.4.2018 12:48;1;"";7.1.2021;08717648164323;7122041915506;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (8010341915093);19.4.2018 14:05;1;"";10.1.2021;08717648164323;8010341915093;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (6110341916759);28.3.2017 10:54;-4;"";16.11.2019;08717648164330;6110341916759;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7012741915245);27.3.2017 13:07;-1;"";7.2.2020;08717648164330;7012741915245;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7021641915571);19.3.2018 13:56;-3;"";29.2.2020;08717648164330;7021641915571;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7021641915572);9.5.2017 14:20;-2;"";29.2.2020;08717648164330;7021641915572;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7021641915574);11.5.2017 13:02;-2;"";29.2.2020;08717648164330;7021641915574;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7021641916551);2.3.2018 9:45;1;"";29.2.2020;08717648164330;7021641916551;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7030941915114);3.4.2018 13:45;-3;"";21.3.2020;08717648164330;7030941915114;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7030941916057);31.5.2017 15:06;-1;"";21.3.2020;08717648164330;7030941916057;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7030941916063);5.3.2018 13:54;1;"";21.3.2020;08717648164330;7030941916063;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7032341915484);15.6.2017 9:47;-3;"";4.4.2020;08717648164330;7032341915484;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7040541915556);4.7.2017 11:50;-2;"";18.4.2020;08717648164330;7040541915556;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7040541915965);19.6.2017 14:27;-1;"";18.4.2020;08717648164330;7040541915965;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7052241915467);11.8.2017 9:51;-12;"";28.5.2020;08717648164330;7052241915467;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7052241916063);31.7.2017 13:26;1;"";28.5.2020;08717648164330;7052241916063;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7052641915427);25.9.2017 14:13;-6;"";6.6.2020;08717648164330;7052641915427;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7071941915362);3.4.2018 13:45;-1;"";31.7.2020;08717648164330;7071941915362;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7071941915363);9.10.2017 13:13;-2;"";31.7.2020;08717648164330;7071941915363;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7071941915926);9.10.2017 13:14;-2;"";31.7.2020;08717648164330;7071941915926;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7071941916582);5.3.2018 13:52;1;"";31.7.2020;08717648164330;7071941916582;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7082241915201);14.3.2018 13:16;1;"";28.8.2020;08717648164330;7082241915201;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7082241915202);3.1.2018 13:47;-4;"";28.8.2020;08717648164330;7082241915202;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7082241915916);13.12.2017 10:05;-1;"";28.8.2020;08717648164330;7082241915916;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7082241915948);23.11.2017 12:57;-1;"";28.8.2020;08717648164330;7082241915948;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7082241916108);8.11.2017 13:40;-1;"";28.8.2020;08717648164330;7082241916108;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7082241916112);19.3.2018 14:01;1;"";28.8.2020;08717648164330;7082241916112;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7091241915230);4.1.2018 14:22;-1;"";17.9.2020;08717648164330;7091241915230;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7102741915004);5.3.2018 13:53;-5;"";9.11.2020;08717648164330;7102741915004;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7102741915076);1.2.2018 16:04;1;"";9.11.2020;08717648164330;7102741915076;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7102741915079);13.12.2017 10:12;1;"";9.11.2020;08717648164330;7102741915079;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7102741915755);3.1.2018 13:56;1;"";9.11.2020;08717648164330;7102741915755;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 15 mm (7102741915966);13.12.2017 10:12;1;"";9.11.2020;08717648164330;7102741915966;HUS Meilahti kaupinta varasto BMXP BMX6
